movement_count,total_distance,movement_duration,average_velocity,maximum_velocity,velocity_variance,direction_change_count,average_direction_change,path_efficiency,straightness_ratio,label
23,244.75,768.7,0.3184,0.7564,0.0191,7,0.383,0.8314,0.8302,0
22,216.91,580.0,0.374,0.786,0.0386,2,0.4127,0.8665,0.8984,0
22,191.26,555.5,0.3443,0.637,0.0238,2,0.2439,0.7211,0.7325,0
21,190.15,694.6,0.2737,0.2838,0.0045,0,0.0799,0.992,0.9867,1
21,211.24,483.6,0.4368,0.4934,0.0071,1,0.0237,0.9398,0.999,1
24,214.16,359.1,0.5963,0.7421,0.0073,0,0.0564,0.9396,0.9947,1
23,171.65,1200.0,0.143,0.2781,0.017,3,0.3547,0.7504,0.7414,0
23,217.95,685.1,0.3182,0.6533,0.0485,6,0.5389,0.7303,0.6534,1
20,271.88,537.4,0.5059,1.5086,0.015,10,0.4036,0.6545,0.9,1
21,152.42,780.0,0.1954,0.4072,0.0326,1,0.3635,0.7599,0.7468,0
21,259.88,752.1,0.3455,0.7605,0.0209,2,0.41,0.8565,0.8709,0
25,213.54,499.1,0.4279,1.3329,0.0245,3,0.3609,0.5934,0.8549,1
22,149.5,518.4,0.2884,0.6754,0.0502,8,0.4998,0.828,0.772,1
24,226.43,612.0,0.3699,0.7614,0.0176,8,0.3662,0.7413,0.7438,0
22,126.09,554.1,0.2275,0.696,0.0488,3,0.481,0.5275,0.6334,1
23,203.94,649.6,0.314,0.8445,0.0721,9,0.4005,0.7167,0.7352,1
25,188.33,556.3,0.3386,0.8425,0.0497,6,0.4366,0.6845,0.6753,0
23,173.01,344.6,0.502,0.5972,0.0036,1,0.0929,0.9937,0.9514,1
22,238.13,776.1,0.3068,0.5118,0.0411,1,0.4619,0.885,0.9043,0
21,186.59,752.1,0.2481,0.5562,0.0222,8,0.2713,0.8775,0.8743,0
25,139.64,443.7,0.3147,0.3563,0.0023,1,0.1464,0.892,0.9784,1
21,137.24,941.2,0.1458,0.3045,0.048,5,0.3651,0.7861,0.7608,0
23,148.64,370.7,0.401,0.4656,0.0019,0,0.1391,0.999,0.9831,1
23,196.31,588.8,0.3334,0.7199,0.0294,4,0.5225,0.7276,0.7168,0
19,193.18,548.7,0.3521,0.5947,0.0324,5,0.376,0.7939,0.8021,0
20,111.31,730.1,0.1525,0.2726,0.0669,4,0.3045,0.6436,0.6403,0
24,201.41,613.9,0.3281,0.5712,0.0132,4,0.4098,0.8254,0.7856,0
18,182.86,751.9,0.2432,0.3491,0.0129,4,0.3194,0.7128,0.7213,0
20,171.34,715.8,0.2394,0.2524,0.0013,1,0.0879,0.9759,0.999,1
25,123.1,300.9,0.4091,0.4911,0.0036,1,0.134,0.9468,0.999,1
